Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify all the displayed data can be seen in sort order by clicking on the respective column,UN-81,10116,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 11:50 AM,08/Sep/21 1:01 PM,08/Sep/21 1:01 PM,08/Sep/21 11:55 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-40,,,,,,,{},,UN-1,,,,,0|i000mq:,,UN Sprint 1,,,,,,,,Done
Verify pagination works properly or not,UN-80,10115,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 11:44 AM,08/Sep/21 11:55 AM,08/Sep/21 11:44 AM,08/Sep/21 11:55 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-40,,,,,,,{},,UN-1,,,,,0|i000mi:,,UN Sprint 1,,,,,,,,Done
Verify all the saved data is displayed in result section when open the marketing tracking,UN-79,10114,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 11:39 AM,08/Sep/21 11:55 AM,08/Sep/21 11:55 AM,08/Sep/21 11:55 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-40,,,,,,,{},,UN-1,,,,,0|i000ma:,,UN Sprint 1,,,,,,,,Done
Verify selected column can be deleted,UN-78,10113,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 11:05 AM,08/Sep/21 11:40 AM,08/Sep/21 11:06 AM,08/Sep/21 11:08 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-39,,,,,,,{},,UN-1,,,,,0|i000m2:,,UN Sprint 1,,,,,,,,Done
Verify by clicking on the OK the selected record gets deleted and gives conformation message,UN-77,10112,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 10:58 AM,08/Sep/21 1:01 PM,08/Sep/21 1:01 PM,08/Sep/21 11:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-39,,,,,,,{},,UN-1,,,,,0|i000lu:,,UN Sprint 1,,,,,,,,Done
Verify by clicking on the title row all the rows get selected and can be deleted by clicking on delete button,UN-76,10111,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 10:55 AM,08/Sep/21 11:01 AM,08/Sep/21 10:55 AM,08/Sep/21 11:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-39,,,,,,,{},,UN-1,,,,,0|i000lm:,,UN Sprint 1,,,,,,,,Done
Verify selected row deleted or not,UN-75,10110,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 10:47 AM,08/Sep/21 11:01 AM,08/Sep/21 10:47 AM,08/Sep/21 11:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-39,,,,,,,{},,UN-1,,,,,0|i000le:,,UN Sprint 1,,,,,,,,Done
Verify Pre-conformation message showing when click on the delete button,UN-74,10109,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 10:29 AM,08/Sep/21 11:01 AM,08/Sep/21 10:29 AM,08/Sep/21 11:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-39,,,,,,,{},,UN-1,,,,,0|i000l6:,,UN Sprint 1,,,,,,,,Done
Verify filter options are visible or not for 0 results,UN-73,10108,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 9:57 AM,08/Sep/21 1:01 PM,08/Sep/21 1:01 PM,08/Sep/21 10:08 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-11,,,,,,,{},,UN-1,,,,,0|i000ky:,,UN Sprint 1,,,,,,,,Done
Verify filter button opens the filter option by clicking on the filter button,UN-72,10107,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 9:37 AM,08/Sep/21 1:05 PM,08/Sep/21 1:05 PM,08/Sep/21 10:08 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-11,,,,,,,{},,UN-1,,,,,0|i000kq:,,UN Sprint 1,,,,,,,,Done
